OBJECTID,NAME_2,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
32,Alpine,32,2846,0.197638887308000,0,7,7,0.238931834153000,1.078038345100000,680.000000000000000,5,0,7,0
33,Amador,33,2331,0.161874998705000,0,60,60,5.501072501070000,8.381629605960001,12823.000000000000000,56,0,25,5
34,Amelia,34,1394,0.096805554781100,0,20,20,5.068149210900000,3.282330179850000,7065.000000000000000,18,5,20,5
35,Amherst,35,1807,0.125486110107000,0,62,62,6.571112340900000,10.673620878500000,11874.000000000000000,59,0,41,5
36,Amite,36,2587,0.179652776341000,0,28,28,3.126014688830000,3.914476082960000,8087.000000000000000,25,0,17,0
37,Anchorage,37,10804,0.750277771776000,0,63,63,9.611995557200000,18.074462085800000,103848.000000000000000,59,0,6,0
38,Anderson,38,10912,0.757777771716000,0,63,63,10.354655425200001,14.533469195600000,112990.000000000000000,61,0,63,6
39,Andrew,39,1713,0.118958332382000,0,60,60,6.900175131350000,8.758214556120000,11820.000000000000000,53,0,30,6
40,Andrews,40,5306,0.368472219274000,0,62,62,5.887108933280000,9.568797630770000,31237.000000000000000,58,0,46,0
41,Androscoggin,41,2078,0.144305554401000,0,61,61,15.430221366700000,13.126565759300000,32064.000000000000000,58,8,39,10
42,Angelina,42,3066,0.212916664963000,0,63,63,7.527397260270000,13.650494766900000,23079.000000000000000,61,0,39,0
43,Anne Arundel,43,1638,0.113749999090000,12,63,51,46.387667887699997,17.230443266100000,75983.000000000000000,52,62,12,55
44,Anoka,44,1874,0.130138887848000,10,63,53,38.794557097099997,16.901369739900002,72701.000000000000000,54,62,10,38
45,Anson,45,1956,0.135833332247000,0,57,57,6.942229038850000,7.946538901430000,13579.000000000000000,52,0,28,6
46,Antelope,46,3453,0.239791664748000,0,41,41,1.229076165650000,3.897164969880000,4244.000000000000000,34,0,22,0
47,Antrim,47,2244,0.155833332087000,0,36,36,6.895276292340000,5.350562214480000,15473.000000000000000,31,6,32,6
48,Apache,48,41416,2.876111088100000,0,55,55,0.794958470156000,3.234093133480000,32924.000000000000000,52,0,46,0
49,Appanoose,49,2035,0.141319443314000,0,53,53,3.969041769040000,6.770838237110000,8077.000000000000000,48,0,19,0
50,Appling,50,1817,0.126180554546000,0,62,62,4.784810126580000,8.613861068609999,8694.000000000000000,55,0,25,5
51,Appomattox,51,1297,0.090069443723900,0,51,51,4.986121819580000,6.426006708280000,6467.000000000000000,42,0,18,5
52,Aransas,52,967,0.067152777240600,0,60,60,6.312306101340000,13.457877275500000,6104.000000000000000,52,0,26,0
53,Arapahoe,53,3178,0.220694442679000,0,63,63,17.412838263099999,23.951718507199999,55338.000000000000000,60,0,35,6
54,Archer,54,3392,0.235555553671000,0,32,32,1.322523584910000,3.785023522450000,4486.000000000000000,29,0,24,0
55,Archuleta,55,5132,0.356388886038000,0,40,40,0.798713951676000,3.617988731520000,4099.000000000000000,35,0,17,0
56,Arenac,56,1548,0.107499999140000,0,42,42,7.241602067180000,6.203464524790000,11210.000000000000000,38,0,22,7
57,Arkansas,57,3771,0.261874997905000,0,59,59,1.816494298590000,6.534915587280000,6850.000000000000000,53,0,40,0
58,Arlington,58,102,0.007083333276670,63,63,0,63.000000000000000,0.000000000000000,6426.000000000000000,1,63,63,63
59,Armstrong,59,5999,0.416597218889000,0,51,51,5.262043673950000,7.918046505770000,31567.000000000000000,49,0,50,0
60,Aroostook,60,30027,2.085208316650000,0,58,58,1.862690245450000,4.935008630550000,55931.000000000000000,55,0,4,0
61,Arthur,61,2937,0.203958331702000,0,9,9,0.070139598229500,0.683865130046000,206.000000000000000,7,0,4,0
62,Ascension,62,1059,0.073541666078300,5,63,58,35.789423984899997,20.662996754800002,37901.000000000000000,59,61,36,38
63,Ashe,63,1602,0.111249999110000,0,57,57,4.528089887640000,8.130076862159999,7254.000000000000000,50,0,19,0
64,Ashland,64,6273,0.435624996515000,0,60,60,5.123864179820000,8.295194961569999,32142.000000000000000,58,0,4,0
65,Ashley,65,3389,0.235347220339000,0,62,62,2.406904691650000,7.101877999610000,8157.000000000000000,55,0,32,0
66,Ashtabula,66,2863,0.198819442854000,0,57,57,13.106531610199999,10.699569716899999,37524.000000000000000,54,7,51,8
67,Asotin,67,2816,0.195555553991000,0,60,60,1.183238636360000,6.079008943780000,3332.000000000000000,48,0,4,0
68,Assumption,68,1278,0.088749999290000,0,59,59,11.472613458500000,8.854259978900000,14662.000000000000000,45,5,41,7
69,Atascosa,69,4229,0.293680553206000,0,62,62,11.566800662100000,10.911761340100000,48916.000000000000000,58,0,56,9
70,Atchison,70,3871,0.268819442294000,0,60,60,3.512012399900000,7.208221565030000,13595.000000000000000,54,0,38,0
71,Athens,71,1982,0.137638887788000,0,58,58,6.835015136230000,10.212007187199999,13547.000000000000000,53,0,52,6
72,Atkinson,72,1197,0.083124999335000,0,39,39,2.213868003340000,5.241474741870000,2650.000000000000000,31,0,23,0
73,Atlantic,73,2252,0.156388887638000,5,63,58,26.777975133199998,20.095387401899998,60304.000000000000000,59,7,46,17
74,Atoka,74,3605,0.250347220219000,0,56,56,1.929819694870000,5.130616928260000,6957.000000000000000,46,0,26,0
75,Attala,75,2662,0.184861109632000,0,60,60,2.533433508640000,6.692464235420000,6744.000000000000000,48,0,27,0
76,Audrain,76,2697,0.187291665168000,0,59,59,5.246199480900000,8.479347930219999,14149.000000000000000,54,0,42,5
77,Audubon,77,1794,0.124583332337000,0,44,44,3.818283166110000,5.194154607970000,6850.000000000000000,36,0,4,5
78,Auglaize,78,1610,0.111805554661000,0,57,57,14.767701863399999,11.227548210400000,23776.000000000000000,53,8,41,11
79,Augusta,79,3704,0.257222220164000,0,58,58,7.254859611230000,9.805552991680001,26872.000000000000000,54,0,4,6
80,Aurora,80,2984,0.207222220564000,0,21,21,0.788538873995000,2.698647264990000,2353.000000000000000,19,0,21,0
81,Austin,81,2281,0.158402776511000,0,59,59,6.124068391060000,8.833842716230000,13969.000000000000000,56,0,38,5
82,Autauga,82,2144,0.148888887698000,0,63,63,9.242537313430001,12.564421320299999,19816.000000000000000,60,0,4,6
83,Avery,83,913,0.063402777270600,0,47,47,8.849945235490001,9.580490998560000,8080.000000000000000,44,0,40,7
84,Avoyelles,84,3046,0.211527776086000,0,61,61,5.294156270520000,8.045757926460000,16126.000000000000000,55,0,35,5
85,Baca,85,9685,0.672569439064000,0,42,42,0.172947857512000,1.799882757000000,1675.000000000000000,31,0,14,0
86,Bacon,86,1003,0.069652777220600,0,56,56,4.886340977070000,7.915999855370000,4901.000000000000000,45,0,20,5
87,Bailey,87,3049,0.211736109417000,0,57,57,1.893735651030000,5.137581401170000,5774.000000000000000,42,0,18,0
88,Baker,88,16401,1.138958324220000,0,61,61,1.241204804590000,4.482130538550000,20357.000000000000000,58,0,31,0
89,Baldwin,89,6730,0.467361107372000,0,62,62,12.744725111399999,16.032885213899998,85772.000000000000000,60,0,4,7
90,Ballard,90,1035,0.071874999425000,0,50,50,7.666666666670000,6.890447073270000,7935.000000000000000,39,5,4,6
91,Baltimore,91,2697,0.187291665168000,8,63,55,42.896922506499997,20.450300992900001,115693.000000000000000,56,63,8,51
92,Bamberg,92,1423,0.098819443653900,0,57,57,6.044975404080000,9.235085469880000,8602.000000000000000,52,0,22,5
93,Bandera,93,2777,0.192847220679000,0,42,42,2.333093266110000,4.925475898830000,6479.000000000000000,36,0,22,0
94,Banks,94,857,0.059513888412800,5,60,55,10.025670945200000,7.414029656790000,8592.000000000000000,42,7,26,7
95,Banner,95,2952,0.204999998360000,0,6,6,0.030826558265600,0.408329095381000,91.000000000000000,4,0,4,0
96,Bannock,96,4715,0.327430552936000,0,63,63,5.240933191940000,11.528951062300001,24711.000000000000000,60,0,40,0
97,Baraga,97,4005,0.278124997775000,0,48,48,1.492634207240000,5.004193814450000,5978.000000000000000,42,0,29,0
98,Barber,98,4285,0.297569442064000,0,35,35,0.587864644107000,2.808977480050000,2519.000000000000000,29,0,22,0
99,Barbour,99,4525,0.314236108597000,0,60,60,3.717569060770000,7.569888783200000,16822.000000000000000,56,0,32,0
100,Barnes,100,6647,0.461597218529000,0,60,60,2.501579660000000,5.747687879850000,16628.000000000000000,53,0,24,0
101,Barnstable,101,1688,0.117222221284000,0,60,60,28.158767772499999,13.278761376500000,47532.000000000000000,57,27,58,28
102,Barnwell,102,2020,0.140277776656000,0,57,57,8.612871287130000,9.730763337070000,17398.000000000000000,53,0,53,6
103,Barren,103,1892,0.131388887838000,0,61,61,8.597780126849999,10.967637158500001,16267.000000000000000,58,6,34,6
