OID_,NAME_2,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
,Billings,153,47900,2993750000.000000000000000,0.000000000000000,25.097497940099998,25.097497940099998,0.015195599336000,0.276215678525000,727.869208193999953
,Bingham,154,87641,5477562500.000000000000000,0.000000000000000,269.826599121000015,269.826599121000015,0.537625735741000,5.302437362080000,47118.057106100000965
,Black Hawk,155,23768,1485500000.000000000000000,0.000000000000000,1654.573242189999974,1654.573242189999974,5.524009216160000,27.489158815800000,131294.651049999985844
,Blackford,156,6846,427875000.000000000000000,0.000000000000000,173.831069946000014,173.831069946000014,1.748159757070000,8.798001273910000,11967.901696900000388
,Bladen,157,36571,2285687500.000000000000000,0.000000000000000,166.863876342999987,166.863876342999987,0.992644784151000,5.220385020530000,36302.012401200001477
,Blaine,158,354690,22168125000.000000000000000,0.000000000000000,1052.353881839999985,1052.353881839999985,0.115091088994000,3.570980941040000,40821.658355200001097
,Blair,159,21803,1362687500.000000000000000,0.000000000000000,526.151000976999967,526.151000976999967,5.725943881360000,23.460846447600002,124842.754444999998668
,Blanco,160,29374,1835875000.000000000000000,0.000000000000000,121.742744446000003,121.742744446000003,0.387287134173000,3.297470396680000,11376.172279200000048
,Bland,161,14866,929125000.000000000000000,0.000000000000000,628.498779297000056,628.498779297000056,0.452191317247000,5.909263321680000,6722.276122190000024
,Bleckley,162,9115,569687500.000000000000000,0.000000000000000,471.373596190999990,471.373596190999990,1.502651207930000,9.317297009590000,13696.665760300000329
,Bledsoe,163,16869,1054312500.000000000000000,0.000000000000000,377.140045165999993,377.140045165999993,0.770028939369000,5.313110779150000,12989.618178200000330
,Blount,164,50701,3168812500.000000000000000,0.000000000000000,555.237792968999997,555.237792968999997,3.779984624100000,13.445527748000000,191649.000426999991760
,Blue Earth,165,31640,1977500000.000000000000000,0.000000000000000,1145.210815429999911,1145.210815429999911,2.139926806410000,17.512066343800001,67707.284154799999669
,Boise,166,79271,4954437500.000000000000000,0.000000000000000,109.508483886999997,109.508483886999997,0.090286760174400,1.423277865420000,7157.121765779999805
